,name,price,review_count,rating,barrio,address
161,Coffee Station,,1,5.0,Belgrano,"Av. Figueroa Alcorta 7597, Buenos Aires, Argentina"
162,El Chiri de Villa Crespo,$$,10,4.5,Villa Crespo,"Juan Ramirez de Velazco 806, 1414 Buenos Aires, Argentina"
163,Happening,$$$,18,4.0,Belgrano,"Av. Costanera Rafael Obligado 7030, C1428EIW Buenos Aires, Argentina"
164,Tostado Café Club,$$,90,4.0,Recoleta,"Av. Córdoba 1501, C1055AAF Buenos Aires, Argentina"
165,Le Blé,$$,42,3.5,Almagro,"Mario Bravo 908, Buenos Aires, Argentina"
166,Alicia,$$$,30,3.5,Villa Devoto,"Asunción 4102, C1419BGF Buenos Aires, Argentina"
167,Otero Cafe,$$,8,4.0,Caballito,"Guayaquil 389, C1424 Buenos Aires, Argentina"
168,Hay Café Café,$$,13,4.0,Nuñez,"Quesada 1515, C1429 Buenos Aires, Argentina"
169,Bonjour Paris,$$,30,4.0,Retiro,"Uruguay 1145, C1016ACC Buenos Aires, Argentina"
170,Casa Muamor,$$,20,3.0,Palermo,"Soler 4202, Buenos Aires, Argentina"
171,Jolie Bistró,$$,27,3.0,Belgrano,"Conde 2036, 1428 Buenos Aires, Argentina"
172,Punto Letra,,1,5.0,Palermo,"Gorriti 6046, C1414 Buenos Aires, Argentina"
173,Le Blé,$$,19,3.5,Belgrano,"Virrey Arredondo 2306, 1426 Buenos Aires, Argentina"
174,Adorado,$$,23,4.0,Palermo,"Honduras 5999, C1414 Buenos Aires, Argentina"
175,Shout Café & Espresso Bar,$,9,4.0,Retiro,"Maipú 979, C1006ACM Buenos Aires, Argentina"
176,Capriccio,$$,6,4.5,Palermo,"Av. Cabildo 1101, Buenos Aires, Argentina"
177,Café Martínez,,1,5.0,Monserrat,"Chacabuco 285, C1069 Buenos Aires, Argentina"
178,Madrilia,$$,4,4.0,Montecastro,"Alvarez Jonte 4702, C1407GPO Buenos Aires, Argentina"
179,Tea Connection,$$$,4,4.5,Caballito,"Av. José María Moreno 304, C1424 Buenos Aires, Argentina"
180,Le Blé,$$,28,4.0,Villa Devoto,"Fernández de Enciso 4370, Buenos Aires, Argentina"
181,Café Crespín,$$,16,3.5,,"Hipólito Yrigoyen 477, 1638 Vicente López, Argentina"
182,Convite,$$,6,4.0,Palermo,"Uriarte 2017, C1425 Buenos Aires, Argentina"
183,la Apasionada,$$$,14,4.5,,"Ayacucho 1383, Florida, Argentina"
184,Erminda,$$,2,3.5,Villa Del Parque,"Nogoyá 3500, C1417 Buenos Aires, Argentina"
185,Café Cortázar,$$,26,4.0,Palermo,"José Antonio Cabrera 3797, C1186 Buenos Aires, Argentina"
186,La Tolva,$,12,3.5,Recoleta,"Av. Còrdoba 3499, Buenos Aires, Argentina"
187,Basico,,1,3.0,Chacarita,"Maure 4061, Buenos Aires, Argentina"
